GeneID,Gene Symbol,pvalue,log2FoldChange
102724246,TTC39C-AS1,6.57E-05,-1.114558919
4501,MT1X,0.00019209,-1.113415513
6282,S100A11,5.21E-05,-1.112118264
4481,MSR1,0.001111492,-1.111848624
5105,PCK1,0.002614004,-1.11142461
7049,TGFBR3,3.84E-08,-1.1095938
105379326,LOC105379326,1.56E-05,-1.109025524
4071,TM4SF1,3.68E-06,-1.107354824
7128,TNFAIP3,2.32E-06,-1.106126164
9518,GDF15,0.004966246,-1.105806122
2212,FCGR2A,0.000512185,-1.102740155
285,ANGPT2,5.67E-05,-1.102092843
6526,SLC5A3,2.66E-12,-1.100334112
105374438,LOC105374438,3.19E-05,-1.099166337
7100,TLR5,7.12E-08,-1.099003467
64092,SAMSN1,1.35E-06,-1.098019152
54504,CPVL,0.000304911,-1.097782774
101928922,LINC00463,0.000156843,-1.097470717
2683,B4GALT1,2.78E-06,-1.096924
3006,H1-2,8.72E-05,-1.096567944
55540,IL17RB,1.69E-11,-1.096403555
28231,SLCO4A1,1.96E-05,-1.093509224
3578,IL9,0.000637416,-1.093421005
5241,PGR,9.24E-06,-1.092348763
102724473,GAGE10,0.000465628,-1.091199484
1382,CRABP2,7.06E-07,-1.091065462
51284,TLR7,0.00011848,-1.089266512
8515,ITGA10,8.56E-09,-1.084665164
57007,ACKR3,6.04E-06,-1.084091356
53827,FXYD5,9.75E-06,-1.083641972
2535,FZD2,1.26E-05,-1.083264064
221074,SLC39A12,1.80E-05,-1.083224822
1520,CTSS,2.85E-06,-1.082082802
1843,DUSP1,1.39E-05,-1.080712067
84734,FAM167B,4.87E-06,-1.078133811
283120,H19,0.000129096,-1.073761613
4081,MAB21L1,1.36E-08,-1.073509247
2920,CXCL2,0.004200241,-1.073491876
55283,MCOLN3,0.005517779,-1.071040024
11213,IRAK3,5.54E-08,-1.070584921
4111,MAGEA12,6.38E-05,-1.067647203
2995,GYPC,1.37E-06,-1.066922437
102466854,MIR7705,0.000153773,-1.065644805
7547,ZIC3,2.55E-10,-1.065490667
6581,SLC22A3,8.94E-06,-1.065168527
168090,C6orf118,1.15E-07,-1.06465749
105375369,LOC105375369,0.000605189,-1.063576323
2701,GJA4,0.000187303,-1.062214199
2014,EMP3,1.95E-06,-1.062110716
353345,GPR141,0.008655508,-1.061581442
29128,UHRF1,0.000107816,-1.060646716
105377275,LOC105377275,0.002282949,-1.05807016
101928605,ARHGEF35-AS1,5.75E-07,-1.057268006
8972,MGAM,8.69E-05,-1.057240718
1192,CLIC1,1.38E-05,-1.056083
1292,COL6A2,0.000472826,-1.05575528
91607,SLFN11,6.05E-10,-1.054909636
7431,VIM,2.83E-05,-1.054312958
2564,GABRE,0.000193229,-1.054132308
105375022,LOC105375022,4.56E-06,-1.052093618
100233209,PCED1B-AS1,0.000108435,-1.051961393
5457,POU4F1,0.00113963,-1.049739733
10644,IGF2BP2,4.63E-05,-1.049344232
105372270,LOC105372270,0.000553096,-1.048074639
1645,AKR1C1,4.31E-11,-1.047925525
2192,FBLN1,2.06E-08,-1.046408326
101928492,OR2A1-AS1,0.000435666,-1.045068567
57101,ANO2,3.59E-07,-1.044411145
54852,PAQR5,2.16E-11,-1.044244215
105373713,LOC105373713,1.85E-05,-1.041838743
10590,SCGN,7.28E-07,-1.041424134
5265,SERPINA1,0.010696114,-1.040798833
107986302,LOC107986302,0.001454616,-1.038583274
89857,KLHL6,0.00017383,-1.033616112
4688,NCF2,0.000570582,-1.03201862
2350,FOLR2,0.000360155,-1.030460488
105378049,TAB2-AS1,0.001122457,-1.030038626
7134,TNNC1,0.000590449,-1.028249913
4488,MSX2,0.002436529,-1.025830107
7465,WEE1,1.86E-05,-1.024575991
57188,ADAMTSL3,8.39E-06,-1.022684687
124857,WFIKKN2,0.000259977,-1.022025536
6549,SLC9A2,8.01E-08,-1.019153255
1017,CDK2,2.25E-05,-1.018501529
80739,MPIG6B,0.00098512,-1.017835726
6850,SYK,0.000108779,-1.017363389
101929261,LINC02123,6.97E-05,-1.015511136
677,ZFP36L1,2.82E-06,-1.012020374
8324,FZD7,1.75E-06,-1.009016834
29984,RHOD,0.001324752,-1.007865671
50486,G0S2,7.56E-07,-1.007679592
107984440,LOC107984440,0.013696781,-1.006374409
3119,HLA-DQB1,0.000975388,-1.005702211
3936,LCP1,0.000344694,-1.00532641
401428,OR2A20P,7.43E-07,-1.004778841
101929021,LOC101929021,0.000318254,-1.003416719
1366,CLDN7,8.53E-07,-1.002846679
3698,ITIH2,1.35E-05,-1.00270231
102723506,LOC102723506,0.012239904,-1.002364533
3122,HLA-DRA,0.000408751,-1.001941267
2255,FGF10,6.13E-07,-1.000206025
54510,PCDH18,5.62E-08,-1.000089049
8463,TEAD2,7.25E-06,-1.000018884
